flow_id,deadline,flowSize,startTime,finishTime,fct
0,9,6,1,9,8
1,9,5,1,3,2
2,5,5,2,4,2
3,5,5,2,5,3
4,5,3,3,4,1
5,10,4,3,6,3
6,10,5,4,7,3
7,10,5,4,6,2
8,10,5,5,8,3
9,10,6,5,9,4
