flow-id,mcp-deadline,mcp-flowSize,mcp-startTime,mcp-finishTime,mcp-fct,d2tcp-deadline,d2tcp-flowSize,d2tcp-startTime,d2tcp-finishTime,d2tcp-fct,dctcp-deadline,dctcp-flowSize,dctcp-startTime,dctcp-finishTime,dctcp-fct,tcp-deadline,tcp-flowSize,tcp-startTime,tcp-finishTime,tcp-fct,d3-deadline,d3-flowSize,d3-startTime,d3-finishTime,d3-fct,mock-deadline,mock-flowSize,mock-startTime,mock-finishTime,mock-fct
0,5.2526,5.9681,0.1967,1.2187,1.9463,5.9051,5.501,0.7424,2.6359,2.8554,5.2522,5.2596,0.6365,2.4609,2.7456,5.3293,5.327,0.6651,2.8462,2.7182,5.2994,5.3495,0.6821,4.5525,4.5993,5.6553,5.31,0.8333,4.6516,4.4942
1,5.5903,5.8845,0.342,2.4788,2.3155,5.4589,5.6348,0.4983,3.3963,3.4818,5.3526,5.8806,0.6325,3.3778,3.3038,5.7253,5.7188,0.6883,3.9492,3.2715,5.4191,5.3583,0.7024,5.4624,5.274,5.4174,5.2075,0.1905,5.6472,5.5015
2,4.323,5.272,1.7452,3.2877,2.3283,4.4818,5.8217,1.9688,4.9494,3.7383,4.715,5.2776,1.8214,4.8076,3.5209,4.8057,5.598,1.2661,4.5352,3.4826,4.9389,5.8414,1.2732,4.8854,3.5739,4.7536,5.9806,1.7339,4.976,3.6571
3,4.462,5.5377,1.8442,2.8363,1.9231,4.9182,5.4472,1.6004,3.7061,2.8031,4.3298,5.5338,1.6942,3.9497,2.7833,4.7289,5.3604,1.2201,3.1913,2.6578,4.8741,5.8902,1.7699,6.5127,5.8338,4.926,5.7225,1.8817,6.4656,5.6571
4,3.6294,5.2936,2.5886,5.3233,3.2387,3.625,5.6182,2.798,6.8638,4.4258,3.7895,5.9613,2.5381,6.7785,4.7984,3.6276,5.9639,2.8044,6.9762,4.768,3.7822,5.8389,2.6853,4.6493,2.6517,3.9031,5.6209,2.8718,4.5436,2.5583
5,3.2715,5.4073,2.3925,3.7887,1.2039,3.6755,5.2934,2.3371,4.6819,2.6345,3.286,5.3105,2.7575,4.5134,2.8633,3.3861,5.1866,2.3384,4.4017,2.5876,3.2313,5.5792,2.783,5.4415,3.577,3.4787,5.9304,2.7773,5.9814,3.6146
6,2.5318,5.6184,3.4574,6.8241,3.9478,2.3806,5.233,3.6554,5.2093,2.7969,2.2198,5.4354,3.3775,5.2855,2.726,2.7813,5.6951,3.2575,5.2686,2.5603,2.6225,5.8525,3.5115,4.8756,1.5369,2.1963,5.9738,3.931,4.7868,1.5443
7,2.3953,5.5624,3.337,4.8939,1.3281,2.5233,5.4761,3.4612,4.5502,1.5225,2.7754,5.42,3.9186,4.4227,1.4542,2.5727,5.5036,3.4006,4.776,1.8361,2.3385,5.8664,3.8073,7.5008,4.2669,2.8487,5.2463,3.3314,7.6958,4.464
8,1.9312,5.7185,4.7464,5.7723,1.6564,1.4923,5.7327,4.3029,7.8387,3.3076,1.2507,5.6752,4.5114,7.6344,3.7662,1.4637,5.4813,4.4198,7.5933,3.9082,1.5493,5.5716,4.4276,4.2292,0.9279,1.7365,5.8188,4.6908,4.6338,0.4093
9,1.6245,2.701,4.3471,4.4798,0.8251,1.9644,2.8663,4.513,4.6556,0.5517,1.3322,2.8371,4.7475,4.3194,0.5836,1.3274,2.8675,4.8945,4.2924,0.285,1.5676,2.6001,4.7589,5.7468,1.1877,1.8244,2.6048,4.4135,5.2276,1.195
