flow_id,deadline,flowSize,startTime,finishTime,fct
0,9,4,1,1,0
1,9,5,1,2,1
2,5,5,2,9,7
3,5,5,2,9,7
4,5,3,3,3,0
5,10,4,3,4,1
6,10,5,4,5,1
7,10,5,4,4,0
8,10,5,5,6,1
9,10,6,5,5,0
