flow_id,deadline,flowSize,startTime,finishTime,fct
0,9,4,1,1,0
1,9,5,1,2,1
2,5,5,2,3,1
3,5,5,2,2,0
4,5,3,3,4,1
5,10,4,3,3,0
6,10,5,4,5,1
7,10,5,4,4,0
8,10,5,5,6,1
9,10,6,5,7,2
