id,mind,hedera,ecmp
0,245.117257,245.117257,245.117257
8,0.274127242,0.274127242,0.274127242
24,0.159524756,0.159524756,0.159524756
41,0.159324756,0.159324756,0.159324756
52,0.074992046,0.074992046,0.074992046
55,0.07005381,0.07005381,0.07005381
59,0.069171484,0.069171484,0.069171484
62,0.274127242,0.274127242,0.274127242
63,0.010000332,0.010000332,0.010000332
64,0.070357119,0.070357119,0.070357119
69,1.72E-06,1.72E-06,1.72E-06
70,0.063041559,0.063041559,0.063041559
72,0.314825317,0.314825317,0.314825317
75,0.469032389,0.469032389,0.469032389
76,3.06E-06,3.06E-06,3.06E-06
77,0.061620639,0.061620639,0.061620639
79,0.286221701,0.286221701,0.286221701
84,0.304197409,0.304197409,0.304197409
85,0.062894438,0.062894438,0.062894438
90,0.317254709,0.317254709,0.317254709
93,2.630000768,2.630000768,2.630000768
94,0.096287128,0.096287128,0.096287128
97,0.294025753,0.294025753,0.294025753
100,0.074994739,0.074994739,0.074994739
102,0.159324756,0.159324756,0.159324756
103,141.5700063,141.5700063,141.5700063
104,0.050100017,0.050100017,0.050100017
105,0.290058135,0.290058135,0.290058135
107,0.06920325,0.06920325,0.06920325
111,1.03E-06,1.03E-06,1.03E-06
112,0.080327782,0.080327782,0.080327782
114,0.296957167,0.296957167,0.296957167
115,0.091189764,0.091189764,0.091189764
117,0.01000125,0.01000125,0.01000125
118,0.065266802,0.065266802,0.065266802
124,12.8802099,12.8802099,12.8802099
125,0.070024853,0.070024853,0.070024853
127,0.063001831,0.063001831,0.063001831
128,0.07878315,0.07878315,0.07878315
131,0.061369599,0.061369599,0.061369599
132,0.074994739,0.074994739,0.074994739
133,0.060022027,0.060022027,0.060022027
134,0.074991815,0.074991815,0.074991815
135,36.78757237,36.78757237,36.78757237
137,0.07005381,0.07005381,0.07005381
139,210.3200099,210.3200099,210.3200099
140,0.080328306,0.080328306,0.080328306
141,69.07000013,69.07000013,69.07000013
142,0.096287128,0.096287128,0.096287128
143,1.03E-06,1.03E-06,1.03E-06
144,0.080327782,0.080327782,0.080327782
145,9.070001724,9.070001724,9.070001724
146,40.54630045,40.54630045,40.54630045
147,0.299195531,0.299195531,0.299195531
149,0.01000125,0.01000125,0.01000125
150,0.065266802,0.065266802,0.065266802
151,125.4600063,125.4600063,125.4600063
152,184.6800243,184.6800243,184.6800243
153,0.070024853,0.070024853,0.070024853
154,0.314720174,0.314720174,0.314720174
156,0.01000227,0.01000227,0.01000227
157,81.71002485,81.71002485,81.71002485
158,3.06E-06,3.06E-06,3.06E-06
159,0.061620639,0.061620639,0.061620639
161,139.0928923,139.0928923,139.0928923
163,0.092390672,0.092390672,0.092390672
164,0.075039078,0.075039078,0.075039078
165,0.060022027,0.060022027,0.060022027
166,0.300270878,0.300270878,0.300270878
167,140.0428944,140.0428944,140.0428944
169,2.640000128,2.640000128,2.640000128
170,0.096287128,0.096287128,0.096287128
171,0.06920325,0.06920325,0.06920325
172,0.317138258,0.317138258,0.317138258
173,2.630000128,2.630000128,2.630000128
174,0.096287128,0.096287128,0.096287128
175,281.6885533,281.6885533,281.6885533
176,182.3728473,182.3728473,182.3728473
179,126.0600063,126.0600063,126.0600063
180,0.060024253,0.060024253,0.060024253
181,0.010000466,0.010000466,0.010000466
182,0.065266802,0.065266802,0.065266802
183,6.26E-06,6.26E-06,6.26E-06
184,0.060024253,0.060024253,0.060024253
185,6.26E-06,6.26E-06,6.26E-06
186,0.050024364,0.050024364,0.050024364
187,186.2800099,186.2800099,186.2800099
188,564.5750031,564.5750031,564.5750031
189,0.07001586,0.07001586,0.07001586
190,0.314764302,0.314764302,0.314764302
191,0.083801688,0.083801688,0.083801688
193,0.469032389,0.469032389,0.469032389
195,0.092390672,0.092390672,0.092390672
196,0.290002992,0.290002992,0.290002992
197,219.7111898,219.7111898,219.7111898
202,0.300932304,0.300932304,0.300932304
203,0.070120406,0.070120406,0.070120406
205,2.630000128,2.630000128,2.630000128
206,172.4262871,172.4262871,172.4262871
207,827.1595533,827.1595533,827.1595533
208,0.317138258,0.317138258,0.317138258
209,0.073001831,0.073001831,0.073001831
215,202.7000099,202.7000099,202.7000099
216,0.060024253,0.060024253,0.060024253
217,0.307539978,0.307539978,0.307539978
219,9.94E-06,9.94E-06,9.94E-06
221,9.94E-06,9.94E-06,9.94E-06
223,0.280976389,0.280976389,0.280976389
224,0.159324756,0.159324756,0.159324756
227,0.091189764,0.091189764,0.091189764
229,0.299205846,0.299205846,0.299205846
232,0.290174571,0.290174571,0.290174571
239,0.068553275,0.068553275,0.068553275
242,0.28000816,0.28000816,0.28000816
251,9.94E-06,9.94E-06,9.94E-06
253,572.1475409,572.1475409,572.1475409
256,0.304825317,0.304825317,0.304825317
259,0.469032389,0.469032389,0.469032389
263,0.292065222,0.292065222,0.292065222
265,0.299004627,0.299004627,0.299004627
268,0.304197409,0.304197409,0.304197409
274,0.317254709,0.317254709,0.317254709
281,0.296026918,0.296026918,0.296026918
282,0.078835691,0.078835691,0.078835691
283,0.074994739,0.074994739,0.074994739
285,0.061469567,0.061469567,0.061469567
286,0.061077448,0.061077448,0.061077448
289,12.09072094,12.09072094,12.09072094
290,0.06920325,0.06920325,0.06920325
