id,volume,count
0,141450335.36615035,23150
515,223885889.54999718,2800
517,601537495.2999976,2750
8,173023708.00000003,2800
524,286823776.7999996,2800
525,105503595.40000153,2700
532,117714429.4499985,2800
536,213925340.99999806,2800
541,223885889.54999718,2800
548,492092792.0000058,2750
551,105503595.40000153,2700
41,224750355.9999997,2800
562,213925340.99999806,2800
52,406963152.8699925,2750
55,190240307.57000044,2600
59,361430113.4199999,2650
62,173023708.00000003,2800
63,14018.599999999966,350
64,798552318.2199956,2800
69,24096.70000000005,350
70,247744205.8499985,2800
72,622701206.6199986,2800
75,528553043.3199965,2800
76,42128.90000000002,350
77,166018435.23999882,2600
79,242162998.4500007,2750
84,622134711.9999993,2750
85,227742947.40000424,2750
90,601537495.2999976,2750
93,71064.50000000035,350
94,596163801.8499916,2750
97,286823776.7999996,2800
100,406963152.8699925,2750
102,224750355.9999997,2800
103,190326553.07000044,2950
104,273159636.85000056,2650
105,117714429.4499985,2800
107,361430113.4199999,2650
111,14018.599999999966,350
112,798552318.2199956,2800
114,223885889.54999718,2800
115,661012401.700002,2750
117,24096.70000000005,350
118,247744205.8499985,2800
124,105545724.30000049,3050
125,166018435.23999882,2600
127,415086565.89999425,2700
128,406963152.8699925,2750
131,190240307.57000044,2600
132,406963152.8699925,2750
133,227742947.40000424,2750
134,406963152.8699925,2750
135,765595761.9900093,8050
137,190240307.57000044,2600
139,361581494.52,3350
140,798552318.2199956,2800
141,361501177.91999996,3000
142,596163801.8499916,2750
143,14018.599999999966,350
144,798552318.2199956,2800
24,224750355.9999997,2800
146,1046296524.0699978,5600
147,492092792.0000058,2750
149,24096.70000000005,350
150,247744205.8499985,2800
151,110342.20000000075,700
152,520945971.5999868,5800
153,166018435.23999882,2600
154,622701206.6199986,2800
156,42128.90000000002,350
157,694571478.5600089,5400
158,42128.90000000002,350
159,166018435.23999882,2600
161,469905945.8499984,5500
163,661012401.700002,2750
164,406963152.8699925,2750
165,227742947.40000424,2750
166,622134711.9999993,2750
167,417983254.96999073,5350
169,71064.50000000035,350
170,596163801.8499916,2750
171,361430113.4199999,2650
172,601537495.2999976,2750
173,71064.50000000035,350
174,596163801.8499916,2750
175,415171648.9999957,3400
176,1394716120.0700033,5550
179,286910022.2999987,3150
180,273159636.85000056,2650
181,24096.70000000005,350
182,247744205.8499985,2800
