3	0.000008	0.000001	0.000009
1	0.000010	0.000000	0.000010
8	0.000008	0.000003	0.000010
2	0.000009	0.000001	0.000010
9	0.000008	0.000003	0.000011
0	0.000011	0.000000	0.000012
23	0.000008	0.000007	0.000015
15	0.000011	0.000005	0.000016
7	0.000015	0.000002	0.000017
4	0.000016	0.000001	0.000017
25	0.000010	0.000008	0.000018
26	0.000010	0.000008	0.000018
13	0.000015	0.000004	0.000019
6	0.000017	0.000002	0.000019
14	0.000016	0.000004	0.000021
19	0.000014	0.000006	0.000021
20	0.000015	0.000006	0.000021
5	0.000020	0.000002	0.000022
12	0.000019	0.000004	0.000023
11	0.000020	0.000004	0.000023
54	0.000008	0.000015	0.000024
44	0.000012	0.000013	0.000025
30	0.000016	0.000009	0.000025
32	0.000015	0.000010	0.000025
31	0.000016	0.000009	0.000026
10	0.000022	0.000003	0.000026
42	0.000014	0.000012	0.000026
18	0.000021	0.000006	0.000027
29	0.000018	0.000009	0.000027
22	0.000020	0.000007	0.000027
16	0.000022	0.000005	0.000027
17	0.000022	0.000005	0.000028
51	0.000013	0.000015	0.000028
27	0.000020	0.000008	0.000028
41	0.000017	0.000012	0.000029
34	0.000019	0.000010	0.000029
21	0.000023	0.000007	0.000029
39	0.000019	0.000012	0.000031
24	0.000024	0.000008	0.000032
36	0.000022	0.000011	0.000033
56	0.000017	0.000016	0.000033
28	0.000025	0.000008	0.000033
68	0.000015	0.000020	0.000034
57	0.000018	0.000016	0.000034
37	0.000024	0.000011	0.000035
79	0.000013	0.000022	0.000035
43	0.000023	0.000013	0.000036
65	0.000017	0.000019	0.000036
75	0.000015	0.000021	0.000036
77	0.000015	0.000022	0.000036
50	0.000024	0.000015	0.000038
52	0.000023	0.000015	0.000038
72	0.000018	0.000021	0.000038
33	0.000029	0.000010	0.000039
97	0.000013	0.000026	0.000039
45	0.000027	0.000013	0.000040
66	0.000021	0.000019	0.000040
84	0.000017	0.000023	0.000040
80	0.000018	0.000022	0.000040
35	0.000031	0.000010	0.000041
40	0.000029	0.000012	0.000041
58	0.000025	0.000017	0.000042
53	0.000027	0.000015	0.000042
85	0.000019	0.000023	0.000043
70	0.000022	0.000020	0.000043
86	0.000020	0.000023	0.000043
61	0.000026	0.000017	0.000043
89	0.000019	0.000024	0.000043
38	0.000032	0.000012	0.000044
49	0.000030	0.000014	0.000044
47	0.000031	0.000014	0.000044
