125.472708	0.006250
126.155713	0.012500
127.408790	0.018750
127.943318	0.025000
128.197232	0.031250
128.197232	0.037500
128.707076	0.043750
128.816721	0.050000
130.028831	0.056250
132.167900	0.062500
132.376777	0.068750
136.186740	0.075000
136.699027	0.081250
136.949140	0.087500
138.067850	0.093750
142.269285	0.100000
142.407387	0.106250
143.907211	0.112500
144.607167	0.118750
151.997701	0.125000
152.595430	0.131250
160.345416	0.137500
160.396625	0.143750
161.013701	0.150000
161.623094	0.156250
166.992315	0.162500
167.812926	0.168750
168.491091	0.175000
168.919307	0.181250
170.889599	0.187500
175.915122	0.193750
175.915122	0.200000
176.361973	0.206250
177.457505	0.212500
178.345511	0.218750
178.774691	0.225000
180.329747	0.231250
180.660825	0.237500
181.670908	0.243750
186.566478	0.250000
186.870058	0.256250
186.959087	0.262500
190.956890	0.268750
191.949275	0.275000
195.652372	0.281250
196.509983	0.287500
196.831893	0.293750
200.942032	0.300000
204.330458	0.306250
204.692762	0.312500
208.201133	0.318750
209.445178	0.325000
211.707272	0.331250
212.516134	0.337500
212.557859	0.343750
216.753083	0.350000
217.317612	0.356250
217.784248	0.362500
219.494639	0.368750
220.095547	0.375000
220.095547	0.381250
223.107297	0.387500
225.215622	0.393750
226.473945	0.400000
226.631287	0.406250
226.894850	0.412500
229.049215	0.418750
229.561406	0.425000
232.116715	0.431250
232.990832	0.437500
233.914562	0.443750
239.734239	0.450000
241.065489	0.456250
242.316898	0.462500
242.391562	0.468750
242.805959	0.475000
244.260562	0.481250
254.164116	0.487500
257.734811	0.493750
260.454893	0.500000
263.630948	0.506250
265.645429	0.512500
267.171415	0.518750
269.713559	0.525000
275.551119	0.531250
277.931732	0.537500
279.315827	0.543750
279.777006	0.550000
280.705267	0.556250
282.710962	0.562500
283.870741	0.568750
288.392815	0.575000
290.196746	0.581250
292.070047	0.587500
292.102076	0.593750
294.694102	0.600000
296.381981	0.606250
309.827097	0.612500
311.773836	0.618750
313.003156	0.625000
314.355187	0.631250
317.493326	0.637500
320.608748	0.643750
323.848149	0.650000
330.228980	0.656250
333.273228	0.662500
341.333333	0.668750
341.333333	0.675000
341.333333	0.681250
341.333333	0.687500
341.333333	0.693750
342.764254	0.700000
348.544594	0.706250
349.592678	0.712500
357.219723	0.718750
366.129488	0.725000
366.476557	0.731250
366.476557	0.737500
374.550890	0.743750
380.636181	0.750000
381.720485	0.756250
401.572155	0.762500
406.980247	0.768750
410.102897	0.775000
434.798342	0.781250
439.648638	0.787500
444.090397	0.793750
448.768332	0.800000
461.525326	0.806250
461.768042	0.812500
464.828869	0.818750
468.147361	0.825000
471.520459	0.831250
479.065648	0.837500
480.764613	0.843750
486.016348	0.850000
492.844599	0.856250
497.300899	0.862500
512.000000	0.868750
512.000000	0.875000
512.000000	0.881250
535.267194	0.887500
553.958301	0.893750
608.408741	0.900000
694.432991	0.906250
695.840353	0.912500
719.298456	0.918750
742.521991	0.925000
788.290082	0.931250
968.273315	0.937500
968.273315	0.943750
1004.899494	0.950000
1020.589110	0.956250
1024.000000	0.962500
1024.000000	0.968750
1024.000000	0.975000
1024.000000	0.981250
1024.000000	0.987500
1024.000000	0.993750
1024.000000	1.000000
